source_id,source_tier,evidence,prediction_head,source_family,n_tasks,mean_oof_auc,mean_evaluation_auc,mean_auprc,mean_mcc,mean_accuracy
P06,Primitive feature head,Order-4 FCGR,Scaled logistic L2 (C=1),Composition / FCGR,10,0.8256157952266484,0.8286808727833634,0.8177699468110827,0.5098542017842995,0.7526798067314543
P07,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=0.3),DNABERT-2,10,0.8209955024202307,0.8376621993584606,0.8316442242247369,0.5290842356398289,0.7626685626681232
P08,Primitive feature head,Basic motif/position descriptors,ExtraTrees (300),Motif / position,10,0.8170461573015402,0.8308872686720079,0.8276033603861623,0.5154981408682084,0.7553141252571363
P09,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=1),DNABERT-2,10,0.8169082196839603,0.8349678930599602,0.8278851333743052,0.5172841935112198,0.7556091903885084
P10,Primitive feature head,Nucleotide Transformer CLS embedding,Linear head,Nucleotide Transformer,10,0.8146446713087006,0.8226614302761327,0.8206372889293192,0.4989304141691196,0.7457993563621861
P11,Primitive feature head,Basic motif/position descriptors,Scaled logistic L2 (C=1),Motif / position,10,0.8092591355298795,0.8121947601088196,0.8071075568568142,0.5004973534904207,0.7478065158517617
P12,Primitive feature head,CKSNAP (gap 0--5),Scaled logistic L2 (C=1),Physicochemical,10,0.806010084822826,0.8106168964449504,0.8005173543366084,0.4881341988042472,0.7427916562856014
P13,Primitive feature head,Dinucleotide autocorrelation,ExtraTrees (300),Physicochemical,10,0.8005965448752338,0.8029385705590737,0.798753087673355,0.4711669938841599,0.7343362606774696
P14,Primitive feature head,Dinucleotide autocorrelation,Scaled logistic L2 (C=1),Physicochemical,10,0.8005368830047204,0.7996700608128264,0.7996952862774488,0.4695965452127878,0.7315135733849478
P15,Primitive feature head,Z-curve descriptors,ExtraTrees (300),Physicochemical,10,0.7962178278557694,0.8093322096872912,0.801752016108853,0.4698177617185036,0.730237329365186
P16,Primitive feature head,CKSNAP (gap 0--5),ExtraTrees (300),Physicochemical,10,0.7922149494435577,0.7996355742978281,0.791871146495929,0.4580225069590988,0.7258317946016134
P17,Primitive feature head,Nucleotide Transformer mean embedding,Linear head,Nucleotide Transformer,10,0.7883403915756005,0.7942850961335429,0.7893797145379435,0.4458982486527502,0.7195799247256275
P18,Primitive feature head,4--6-mer composition,Logistic L2 (C=1),Composition / FCGR,10,0.784644279970863,0.784225459514686,0.771730160951468,0.4493575269838986,0.7209210918187686
P19,Primitive feature head,4--6-mer composition,Logistic L2 (C=0.3),Composition / FCGR,10,0.7730963308175415,0.771715376415804,0.7606396156835157,0.4374353522134346,0.7142191964932897
P20,Primitive feature head,DNAshapeR EP,Logistic (C=1),DNA shape,10,0.7720368794452033,0.7773580366966739,0.7691595344969152,0.4308432945290029,0.7130742018565823
P21,Primitive feature head,DNABERT-1 CLS embedding,Linear head,DNABERT-1,10,0.737535148436714,0.7421721460256024,0.7285652793596196,0.3681506523991871,0.6797505313755354
P22,Primitive feature head,Z-curve descriptors,Scaled logistic L2 (C=1),Physicochemical,10,0.7348252990505357,0.7288799709680804,0.7265449235885912,0.3695668477467625,0.6784077355245193
P23,Primitive feature head,1--3-mer composition,Logistic L2 (C=1),Composition / FCGR,10,0.7221109303943096,0.730123039988687,0.7137134245407035,0.3595965651370547,0.6759992039823789
P24,Primitive feature head,1--3-mer composition,Logistic L2 (C=0.3),Composition / FCGR,10,0.7033907479443953,0.7136500666164325,0.701508874817127,0.3423593999495521,0.6657987434035645
P25,Primitive feature head,EIIP autocorrelation,ExtraTrees (300),Physicochemical,9,0.6717670561080175,0.6847465954793485,0.6753140876067331,0.2772658630782476,0.6277796929374645
P26,Primitive feature head,EIIP autocorrelation,Scaled logistic L2 (C=1),Physicochemical,9,0.6584135299174656,0.6774654554644286,0.6629831034516749,0.2718383604758561,0.6281928781464978
P27,Primitive feature head,Promoter motif/position descriptors,ExtraTrees (300),Motif / position,6,0.8442248498015181,0.8469626290940023,0.8563410928101876,0.5362784636977055,0.7646894187011002
P28,Primitive feature head,Promoter motif/position descriptors,Scaled logistic L2 (C=1),Motif / position,6,0.8259943921053408,0.8258530533225051,0.8349210314903607,0.506014618871688,0.7494443080790183
P29,Primitive feature head,Center-context positional descriptors,Scaled logistic L2 (C=1),Motif / position,3,0.7381984694917231,0.752086266486249,0.7156886264909028,0.4049854621221302,0.6982057658293526
P30,Primitive feature head,Center-context positional descriptors,ExtraTrees (300),Motif / position,3,0.7352320022413621,0.757854756869417,0.7308292589408878,0.3950665020191115,0.6931442087529356
